,Rank,ETF
0,1,DRV
1,2,MRRL
2,3,MORL
3,4,SRET
4,5,REK
5,6,PRME
6,7,MORT
7,8,DRN
8,9,FREL
9,10,FRI
10,11,LRET
11,12,TAO
12,13,REET
13,14,ROOF
14,15,EWRE
15,16,IFGL
16,17,DRW
17,18,XLRE
18,19,SRS
19,20,KBWY
20,21,WPS
21,22,RWX
22,23,IFEU
23,24,REM
24,25,SCHH
25,26,GRI
26,27,FFR
27,28,WREI
28,29,RWO
29,30,USRT
30,31,VNQI
31,32,GQRE
32,33,REZ
33,34,URE
34,35,IYR
35,36,VNQ
36,37,PSR
37,38,RWR
38,39,ICF
