Rank,ETF
1,DRV
2,MRRL
3,MORL
4,SRET
5,REK
6,PRME
7,MORT
8,DRN
9,FRI
10,FREL
11,LRET
12,REET
13,ROOF
14,TAO
15,EWRE
16,IFGL
17,DRW
18,XLRE
19,SRS
20,KBWY
21,WPS
22,IFEU
23,RWX
24,SCHH
25,REM
26,GRI
27,FFR
28,WREI
29,RWO
30,USRT
31,VNQI
32,GQRE
33,REZ
34,URE
35,IYR
36,VNQ
37,PSR
38,RWR
39,ICF
